S/N,LR,LDA,KNN,CART
1.0,0.4990994595216368,0.4990447486980395,0.5344749178665,0.5145560893105271
1.0,0.5051489367700772,0.5024274165179314,0.5321406691139935,0.5145740748240134
11.0,0.5320832792054694,0.5284120635905758,0.5334822605598892,0.530938815518373
11.0,0.5280134962410139,0.5237990748855289,0.535910245089818,0.5287083404880998
21.0,0.5525303612186061,0.545550310144899,0.5339741474513612,0.5303016049420447
21.0,0.548762365098013,0.5442953669744992,0.5363394390943617,0.5301251693773832
31.0,0.5660138691052456,0.557101303237988,0.5437563442858234,0.5364608947771112
31.0,0.5676719697140602,0.5588742917471053,0.5423985035574453,0.5342437461821603
41.0,0.5795895513112258,0.5656118890844123,0.5486826847429701,0.5440303330364723
41.0,0.5826319109554037,0.5682094378435855,0.5507445498961401,0.5405361347960999
51.0,0.5935056980686926,0.5739544813582487,0.5552660150810175,0.5444854164299471
51.0,0.5870405786161144,0.5693830771104802,0.5576299706310202,0.5456527316766286
61.0,0.6007456985681752,0.5754712573626256,0.563196037474718,0.5521381270878322
61.0,0.5987915809215762,0.5731525473026938,0.5630573252655393,0.5506119455406654
71.0,0.6079868442902272,0.5765690336830425,0.5703575465349577,0.5592417150218499
71.0,0.6034042131818476,0.5746332051029002,0.5676818788788234,0.5571504121294983
81.0,0.6139910323553661,0.5773078310204321,0.5760282287704883,0.5595638123189937
81.0,0.6132820452994397,0.5790603527004958,0.5772995523030621,0.5600315713486194
91.0,0.6134379703418169,0.5747411250827498,0.5808796951279541,0.5641866480984234
91.0,0.6171936725671155,0.575006333793699,0.5797969883727944,0.5648802873322034
