S/N,LR,LDA,KNN,CART,NB,SVM,RF,MVH,MVS
1,0.5033372360586802,0.5004329033298542,0.529207227495037,0.5213994495618799,0.5314043944857579,0.5031936739009089,0.5151250096671273,0.5212011972773046,0.5242694969025754
2,0.5056930531695794,0.5044596438629168,0.5281678552260219,0.5256657508795505,0.5509170461711197,0.5057468878289217,0.5198300669079039,0.5331019362839096,0.5325202253089727
3,0.5048552009788572,0.5036798254809585,0.5355897736407801,0.5299477564641433,0.5561976858363357,0.5054796922258038,0.5268290210529392,0.5386767900662383,0.5363218307224443
4,0.5134005873336038,0.5135764847816363,0.5397245215401533,0.5355858159539484,0.5568816757650921,0.5146219281100559,0.5302282854015145,0.5490846049730669,0.5443857751674674
5,0.5138641035205774,0.5133880933693062,0.5394680054824426,0.5342332322111003,0.5563988977623707,0.5152941806572966,0.5334422214631864,0.5480348751087646,0.5440946678690124
6,0.512074621966744,0.5113588325647119,0.540980356972314,0.535973069056438,0.5577949125763997,0.5134079093991889,0.5316103137824754,0.5482164204817583,0.5435159855248467
7,0.5178233449113495,0.5179450604538388,0.5421271616967112,0.5344712407362016,0.5559383044225574,0.5194717801176346,0.5321479750820726,0.5505167977820029,0.5443609689107257
8,0.5197264127671436,0.5169500161170529,0.5399773995615085,0.5317055765233237,0.5523295218348526,0.5216703705878144,0.5293814691995955,0.5522560275214001,0.5441241653989306
9,0.5231273696534923,0.5219467969608,0.5368996415016425,0.532153172276866,0.5547568555656104,0.5247026485939507,0.5277019474095859,0.5537145880451596,0.544707037693943
10,0.5215067233418459,0.5185132265273009,0.5347416719380249,0.5306597859487032,0.5561691035646157,0.5232678686858366,0.5269748966522868,0.5499149764227879,0.540603426970456
11,0.5264203099749553,0.5245211630116935,0.5356153732746032,0.5314815613302215,0.5562242743169559,0.5287215289447991,0.5273271169824388,0.5536290596961522,0.5427909469557972
12,0.5303657305070069,0.52712741362268,0.5353757067063842,0.5304249693290769,0.5566919551586953,0.5326301804735091,0.5260871398933291,0.5541623746691301,0.5435370065680354
13,0.5359554652838081,0.5329953362995518,0.5338508612522153,0.5275193350019088,0.5539489355374683,0.5380734900361153,0.5230831888984608,0.5543887492966827,0.5434549920746229
14,0.5390106914345654,0.5359494954087268,0.534092852760229,0.5295461489855915,0.5546279122429283,0.5429017391906454,0.5222007420168386,0.5566227726772064,0.5441545482916786
15,0.5337814189109866,0.5304617728270742,0.5324010025802692,0.5289651072069753,0.5562062106155832,0.5370979144830113,0.5199747351943016,0.5513982374196783,0.5407040685779512
16,0.5394409524737923,0.5351961735216402,0.5353361873291609,0.5305705528736727,0.5547960621912886,0.5420751483551902,0.5218634095800904,0.5552294990384845,0.5450355808924168
17,0.5429625233732913,0.5378422470628204,0.5335760308319671,0.5308822649798044,0.5539771498661941,0.5456671251466338,0.5216415376549296,0.5556942041412583,0.5451117910850954
